city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
159,Christchurch,Jade Stadium,2/25/2006,male,ODI,,New Zealand,West Indies,New Zealand,21,0,,New Zealand,bat,NJ Astle
160,Napier,McLean Park,3/1/2006,male,ODI,,New Zealand,West Indies,New Zealand,91,0,,West Indies,field,L Vincent
161,Auckland,Eden Park,3/4/2006,male,ODI,,New Zealand,West Indies,West Indies,0,3,,New Zealand,bat,DR Smith
162,Delhi,Feroz Shah Kotla,3/28/2006,male,ODI,,India,England,India,39,0,,England,field,Harbhajan Singh
163,Faridabad,Nahar Singh Stadium,3/31/2006,male,ODI,,India,England,India,0,4,,England,bat,SK Raina
164,Margao,"Nehru Stadium, Fatorda",4/3/2006,male,ODI,,India,England,India,49,0,,India,bat,Yuvraj Singh
165,Jamshedpur,Keenan Stadium,4/12/2006,male,ODI,,India,England,England,0,5,,India,bat,AJ Strauss
166,Indore,Maharani Usharaje Trust Cricket Ground,4/15/2006,male,ODI,,India,England,India,0,7,,India,field,S Sreesanth
167,Centurion,SuperSport Park,2/26/2006,male,ODI,,South Africa,Australia,South Africa,0,6,,Australia,bat,GC Smith
168,Cape Town,Newlands,3/3/2006,male,ODI,,South Africa,Australia,South Africa,196,0,,South Africa,bat,M Ntini
169,Port Elizabeth,St George's Park,3/5/2006,male,ODI,,South Africa,Australia,Australia,24,0,,South Africa,field,B Lee
170,Durban,Kingsmead,3/10/2006,male,ODI,,South Africa,Australia,Australia,0,1,,South Africa,bat,HH Dippenaar
171,Johannesburg,New Wanderers Stadium,3/12/2006,male,ODI,,South Africa,Australia,South Africa,0,1,,Australia,bat,HH Gibbs
172,Colombo,R Premadasa Stadium,3/17/2006,male,ODI,,Sri Lanka,Pakistan,No Result,0,0,,Sri Lanka,field,
173,Colombo,R Premadasa Stadium,3/19/2006,male,ODI,,Sri Lanka,Pakistan,Pakistan,0,4,,Pakistan,field,Abdul Razzaq
174,Colombo,Sinhalese Sports Club Ground,3/22/2006,male,ODI,,Sri Lanka,Pakistan,Pakistan,0,4,,Pakistan,field,Shahid Afridi
175,Antigua,"Antigua Recreation Ground, St John's",4/29/2006,male,ODI,,West Indies,Zimbabwe,West Indies,0,5,,West Indies,field,JE Taylor
176,Antigua,"Antigua Recreation Ground, St John's",4/30/2006,male,ODI,,West Indies,Zimbabwe,West Indies,98,0,,West Indies,bat,JE Taylor
177,St Lucia,"Beausejour Stadium, Gros Islet",5/10/2006,male,ODI,,West Indies,Zimbabwe,West Indies,0,10,,Zimbabwe,bat,CH Gayle
178,Trinidad,"Queen's Park Oval, Port of Spain",5/13/2006,male,ODI,,West Indies,Zimbabwe,No Result,0,0,,West Indies,bat,
179,Trinidad,"Queen's Park Oval, Port of Spain",5/14/2006,male,ODI,,West Indies,Zimbabwe,West Indies,104,0,,West Indies,bat,RR Sarwan
180,Jamaica,"Sabina Park, Kingston",5/20/2006,male,ODI,,West Indies,India,West Indies,1,0,,India,field,RR Sarwan
181,St Kitts,"Warner Park, Basseterre",5/23/2006,male,ODI,,West Indies,India,West Indies,0,4,,India,bat,RR Sarwan
182,Trinidad,"Queen's Park Oval, Port of Spain",5/26/2006,male,ODI,,West Indies,India,West Indies,0,6,,West Indies,field,DJ Bravo
183,Trinidad,"Queen's Park Oval, Port of Spain",5/28/2006,male,ODI,,West Indies,India,West Indies,19,0,,India,field,DJ Bravo
184,Abu Dhabi,Sheikh Zayed Stadium,4/18/2006,male,ODI,,India,Pakistan,Pakistan,0,6,,India,bat,Younis Khan
185,Abu Dhabi,Sheikh Zayed Stadium,4/19/2006,male,ODI,,India,Pakistan,India,51,0,,India,bat,R Dravid
