city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
416,Nairobi,Gymkhana Club Ground,10/25/2007,male,ODI,,Kenya,Bermuda,Kenya,0,8,,Kenya,field,
417,Nairobi,Gymkhana Club Ground,10/27/2007,male,ODI,,Kenya,Bermuda,Kenya,0,3,,Bermuda,bat,
418,Nairobi,Gymkhana Club Ground,10/28/2007,male,ODI,,Kenya,Bermuda,Kenya,0,1,,Bermuda,bat,
419,,Harare Sports Club,11/30/2007,male,ODI,,Zimbabwe,West Indies,Zimbabwe,30,0,,West Indies,field,CJ Chibhabha
420,,Harare Sports Club,12/2/2007,male,ODI,,Zimbabwe,West Indies,West Indies,110,0,,Zimbabwe,field,RS Morton
421,Bulawayo,Queens Sports Club,12/7/2007,male,ODI,,Zimbabwe,West Indies,West Indies,0,5,,West Indies,field,JE Taylor
422,Trinidad,"Queen's Park Oval, Port of Spain",4/10/2008,male,ODI,,West Indies,Sri Lanka,West Indies,0,1,,West Indies,field,DJ Bravo
423,Trinidad,"Queen's Park Oval, Port of Spain",4/12/2008,male,ODI,,West Indies,Sri Lanka,West Indies,0,7,,West Indies,field,S Chanderpaul
424,St Lucia,"Beausejour Stadium, Gros Islet",4/15/2008,male,ODI,,West Indies,Sri Lanka,No Result,0,0,,West Indies,field,
425,St Vincent,"Arnos Vale Ground, Kingstown",6/24/2008,male,ODI,,West Indies,Australia,Australia,84,0,,West Indies,field,SE Marsh
426,Grenada,"National Cricket Stadium, St George's",6/27/2008,male,ODI,,West Indies,Australia,Australia,63,0,,Australia,bat,MJ Clarke
427,Grenada,"National Cricket Stadium, St George's",6/29/2008,male,ODI,,West Indies,Australia,Australia,0,7,,Australia,field,SR Watson
428,St Kitts,"Warner Park, Basseterre",7/4/2008,male,ODI,,West Indies,Australia,Australia,1,0,,West Indies,field,A Symonds
429,St Kitts,"Warner Park, Basseterre",7/6/2008,male,ODI,,West Indies,Australia,Australia,169,0,,Australia,bat,L Ronchi
430,,Chittagong Divisional Stadium,3/9/2008,male,ODI,,Bangladesh,South Africa,South Africa,0,9,,Bangladesh,bat,GC Smith
431,Mirpur,Shere Bangla National Stadium,3/12/2008,male,ODI,,Bangladesh,South Africa,South Africa,0,7,,Bangladesh,bat,A Nel
432,Mirpur,Shere Bangla National Stadium,3/14/2008,male,ODI,,Bangladesh,South Africa,South Africa,0,7,,Bangladesh,bat,JA Morkel
433,King City,Maple Leaf North-West Ground,6/29/2008,male,ODI,,Canada,Bermuda,Bermuda,11,0,,Canada,field,S Dhaniram
434,Ayr,Cambusdoon New Ground,8/12/2008,male,ODI,,Scotland,Kenya,No Result,0,0,,Scotland,field,
435,Belfast,"Civil Service Cricket Club, Stormont",8/25/2008,male,ODI,,Ireland,Kenya,No Result,0,0,,Kenya,field,
436,Dublin,Clontarf Cricket Club Ground,7/29/2008,male,ODI,,Netherlands,Scotland,Scotland,0,6,,Netherlands,bat,
437,Dublin,Clontarf Cricket Club Ground,7/31/2008,male,ODI,,Ireland,Scotland,Ireland,0,7,,Ireland,field,
438,Nairobi,Gymkhana Club Ground,10/17/2008,male,ODI,,Ireland,Zimbabwe,Zimbabwe,156,0,,Zimbabwe,bat,
439,Karachi,National Stadium,1/21/2008,male,ODI,,Pakistan,Zimbabwe,Pakistan,104,0,,Zimbabwe,field,Nasir Jamshed
440,Sind,"Niaz Stadium, Hyderabad",1/24/2008,male,ODI,,Pakistan,Zimbabwe,Pakistan,0,5,,Zimbabwe,bat,Sohail Tanvir
441,,Multan Cricket Stadium,1/27/2008,male,ODI,,Pakistan,Zimbabwe,Pakistan,37,0,,Pakistan,bat,Shahid Afridi
442,Faisalabad,Iqbal Stadium,1/30/2008,male,ODI,,Pakistan,Zimbabwe,Pakistan,0,7,,Zimbabwe,bat,Shoaib Malik
443,,Sheikhupura Stadium,2/2/2008,male,ODI,,Pakistan,Zimbabwe,Pakistan,0,7,,Zimbabwe,bat,Younis Khan
444,Lahore,Gaddafi Stadium,6/24/2008,male,ODI,,Bangladesh,United Arab Emirates,Bangladesh,96,0,,Bangladesh,bat,Mohammad Ashraful
445,Karachi,National Stadium,6/24/2008,male,ODI,,Pakistan,Hong Kong,Pakistan,155,0,,Pakistan,bat,Sohail Tanvir
446,Lahore,Gaddafi Stadium,6/25/2008,male,ODI,,Bangladesh,Sri Lanka,Sri Lanka,131,0,,Bangladesh,field,KC Sangakkara
447,Karachi,National Stadium,6/25/2008,male,ODI,,Hong Kong,India,India,256,0,,India,bat,SK Raina
448,Lahore,Gaddafi Stadium,6/26/2008,male,ODI,,Sri Lanka,United Arab Emirates,Sri Lanka,142,0,,Sri Lanka,bat,BAW Mendis
449,Karachi,National Stadium,6/26/2008,male,ODI,,Pakistan,India,India,0,6,,Pakistan,bat,SK Raina
450,Karachi,National Stadium,6/28/2008,male,ODI,,Bangladesh,India,India,0,7,,Bangladesh,bat,SK Raina
451,Karachi,National Stadium,6/29/2008,male,ODI,,Pakistan,Sri Lanka,Sri Lanka,64,0,,Pakistan,field,KC Sangakkara
452,Karachi,National Stadium,6/30/2008,male,ODI,,Bangladesh,Sri Lanka,Sri Lanka,158,0,,Sri Lanka,bat,ST Jayasuriya
453,Karachi,National Stadium,7/2/2008,male,ODI,,Pakistan,India,Pakistan,0,8,,India,bat,Younis Khan
454,Karachi,National Stadium,7/3/2008,male,ODI,,India,Sri Lanka,India,0,6,,Sri Lanka,bat,MS Dhoni
455,Karachi,National Stadium,7/4/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,0,10,,Bangladesh,bat,Abdur Rauf
456,Karachi,National Stadium,7/6/2008,male,ODI,,India,Sri Lanka,Sri Lanka,100,0,,India,field,BAW Mendis
457,Darwin,Marrara Cricket Ground,8/30/2008,male,ODI,,Australia,Bangladesh,Australia,180,0,,Bangladesh,field,MEK Hussey
458,Darwin,Marrara Cricket Ground,9/3/2008,male,ODI,,Australia,Bangladesh,Australia,0,8,,Bangladesh,bat,SE Marsh
459,Darwin,Marrara Cricket Ground,9/6/2008,male,ODI,,Australia,Bangladesh,Australia,73,0,,Australia,bat,Tamim Iqbal
460,,Rangiri Dambulla International Stadium,8/18/2008,male,ODI,,Sri Lanka,India,Sri Lanka,0,8,,India,bat,BAW Mendis
461,,Rangiri Dambulla International Stadium,8/20/2008,male,ODI,,Sri Lanka,India,India,0,3,,India,field,Z Khan
462,Colombo,R Premadasa Stadium,8/24/2008,male,ODI,,Sri Lanka,India,India,33,0,,India,bat,MS Dhoni
463,Colombo,R Premadasa Stadium,8/29/2008,male,ODI,,Sri Lanka,India,Sri Lanka,112,0,,Sri Lanka,bat,KMDN Kulasekara
464,Lahore,Gaddafi Stadium,4/8/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,152,0,,Pakistan,bat,Mohammad Yousuf
465,Faisalabad,Iqbal Stadium,4/11/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,0,7,,Bangladesh,bat,Salman Butt
466,Lahore,Gaddafi Stadium,4/13/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,23,0,,Pakistan,bat,Salman Butt
467,,Multan Cricket Stadium,4/16/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,0,7,,Bangladesh,bat,Shakib Al Hasan
468,Karachi,National Stadium,4/19/2008,male,ODI,,Pakistan,Bangladesh,Pakistan,150,0,,Pakistan,bat,Mohammad Asif
469,Mirpur,Shere Bangla National Stadium,6/8/2008,male,ODI,,Bangladesh,Pakistan,Pakistan,70,0,,Bangladesh,field,Salman Butt
470,Mirpur,Shere Bangla National Stadium,6/10/2008,male,ODI,,India,Pakistan,India,140,0,,India,bat,V Sehwag
471,Mirpur,Shere Bangla National Stadium,6/12/2008,male,ODI,,Bangladesh,India,India,0,7,,Bangladesh,bat,G Gambhir
472,Mirpur,Shere Bangla National Stadium,6/14/2008,male,ODI,,India,Pakistan,Pakistan,25,0,,Pakistan,bat,Younis Khan
473,London,Kennington Oval,9/4/2009,male,ODI,,England,Australia,Australia,4,0,,England,field,CJ Ferguson
474,London,Lord's,9/6/2009,male,ODI,,England,Australia,Australia,39,0,,England,field,MG Johnson
475,Southampton,The Rose Bowl,9/9/2009,male,ODI,,England,Australia,Australia,0,6,,England,bat,CL White
476,London,Lord's,9/12/2009,male,ODI,,England,Australia,Australia,0,7,,England,bat,B Lee
477,Nottingham,Trent Bridge,9/15/2009,male,ODI,,England,Australia,Australia,0,4,,England,bat,RT Ponting
478,Nottingham,Trent Bridge,9/17/2009,male,ODI,,England,Australia,Australia,111,0,,Australia,bat,TD Paine
479,Chester-le-Street,Riverside Ground,9/20/2009,male,ODI,,England,Australia,England,0,4,,England,field,GP Swann
480,Potchefstroom,Senwes Park,11/7/2008,male,ODI,,South Africa,Bangladesh,South Africa,61,0,,South Africa,bat,DW Steyn
481,Durban,Kingsmead,4/3/2009,male,ODI,,South Africa,Australia,Australia,141,0,,Australia,bat,MEK Hussey
482,Centurion,SuperSport Park,4/5/2009,male,ODI,,South Africa,Australia,South Africa,0,7,,Australia,bat,WD Parnell
483,Cape Town,Newlands,4/9/2009,male,ODI,,South Africa,Australia,South Africa,25,0,,South Africa,bat,JH Kallis
484,Port Elizabeth,St George's Park,4/13/2009,male,ODI,,South Africa,Australia,South Africa,61,0,,Australia,field,HH Gibbs
485,Johannesburg,New Wanderers Stadium,4/17/2009,male,ODI,,South Africa,Australia,Australia,47,0,,South Africa,field,NM Hauritz
486,,Melbourne Cricket Ground,1/16/2009,male,ODI,,Australia,South Africa,South Africa,0,3,,Australia,bat,JA Morkel
487,Hobart,Bellerive Oval,1/18/2009,male,ODI,,Australia,South Africa,Australia,5,0,,South Africa,field,SE Marsh
488,,Sydney Cricket Ground,1/23/2009,male,ODI,,Australia,South Africa,South Africa,0,3,,Australia,bat,JA Morkel
489,,Adelaide Oval,1/26/2009,male,ODI,,Australia,South Africa,South Africa,0,8,,Australia,bat,AB de Villiers
490,Perth,Western Australia Cricket Association Ground,1/30/2009,male,ODI,,Australia,South Africa,South Africa,39,0,,South Africa,bat,HM Amla
491,Perth,Western Australia Cricket Association Ground,2/1/2009,male,ODI,,Australia,New Zealand,New Zealand,0,2,,Australia,bat,KD Mills
492,,Melbourne Cricket Ground,2/6/2009,male,ODI,,Australia,New Zealand,New Zealand,0,6,,New Zealand,field,MJ Clarke
493,,Sydney Cricket Ground,2/8/2009,male,ODI,,Australia,New Zealand,Australia,32,0,,New Zealand,field,BJ Haddin
494,,Adelaide Oval,2/10/2009,male,ODI,,Australia,New Zealand,Australia,0,6,,New Zealand,bat,DJ Hussey
495,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/13/2009,male,ODI,,Australia,New Zealand,No Result,0,0,,New Zealand,field,
496,Guyana,Providence Stadium,3/20/2009,male,ODI,,West Indies,England,England,1,0,,England,bat,PD Collingwood
497,Guyana,Providence Stadium,3/22/2009,male,ODI,,West Indies,England,West Indies,21,0,,West Indies,bat,S Chanderpaul
498,Barbados,"Kensington Oval, Bridgetown",3/27/2009,male,ODI,,West Indies,England,West Indies,0,8,,West Indies,field,DJ Bravo
499,Barbados,"Kensington Oval, Bridgetown",3/29/2009,male,ODI,,West Indies,England,England,0,9,,England,field,AJ Strauss
500,St Lucia,"Beausejour Stadium, Gros Islet",4/3/2009,male,ODI,,West Indies,England,England,26,0,,West Indies,field,A Flintoff
501,Bloemfontein,OUTsurance Oval,10/31/2008,male,ODI,,South Africa,Kenya,South Africa,159,0,,South Africa,bat,JP Duminy
502,Rajkot,Madhavrao Scindia Cricket Ground,11/14/2008,male,ODI,,India,England,India,158,0,,England,field,Yuvraj Singh
503,Indore,Maharani Usharaje Trust Cricket Ground,11/17/2008,male,ODI,,India,England,India,54,0,,India,bat,Yuvraj Singh
504,Kanpur,Green Park,11/20/2008,male,ODI,,India,England,India,16,0,,England,bat,Harbhajan Singh
505,Bangalore,M Chinnaswamy Stadium,11/23/2008,male,ODI,,India,England,India,19,0,,England,field,V Sehwag
506,Cuttack,Barabati Stadium,11/26/2008,male,ODI,,India,England,India,0,6,,India,field,V Sehwag
507,Colombo,R Premadasa Stadium,8/27/2008,male,ODI,,Sri Lanka,India,India,46,0,,India,bat,SK Raina
508,Napier,McLean Park,3/3/2009,male,ODI,,New Zealand,India,India,53,0,,India,bat,MS Dhoni
509,Hamilton,Seddon Park,3/11/2009,male,ODI,,New Zealand,India,India,84,0,,New Zealand,bat,V Sehwag
510,Auckland,Eden Park,3/14/2009,male,ODI,,New Zealand,India,New Zealand,0,8,,India,bat,JD Ryder
511,Wellington,Westpac Stadium,3/6/2009,male,ODI,,New Zealand,India,No Result,0,0,,India,bat,
512,Christchurch,AMI Stadium,3/8/2009,male,ODI,,New Zealand,India,India,58,0,,New Zealand,field,SR Tendulkar
513,,Queenstown Events Centre,12/31/2008,male,ODI,,New Zealand,West Indies,No Result,0,0,,New Zealand,field,
514,Wellington,Westpac Stadium,1/7/2009,male,ODI,,New Zealand,West Indies,New Zealand,0,7,,New Zealand,field,DL Vettori
515,Abu Dhabi,Sheikh Zayed Stadium,11/12/2008,male,ODI,,Pakistan,West Indies,Pakistan,0,4,,West Indies,bat,CH Gayle
516,Abu Dhabi,Sheikh Zayed Stadium,11/14/2008,male,ODI,,Pakistan,West Indies,Pakistan,24,0,,Pakistan,bat,Sohail Tanvir
517,,Harare Sports Club,11/20/2008,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,0,6,,Sri Lanka,field,M Muralitharan
518,,Harare Sports Club,11/22/2008,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,0,9,,Zimbabwe,bat,BAW Mendis
519,,Harare Sports Club,11/24/2008,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,5,0,,Zimbabwe,field,H Masakadza
520,,Harare Sports Club,11/30/2008,male,ODI,,Zimbabwe,Sri Lanka,Sri Lanka,19,0,,Zimbabwe,field,M Muralitharan
521,Jamaica,"Sabina Park, Kingston",6/26/2009,male,ODI,,West Indies,India,India,20,0,,India,bat,Yuvraj Singh
522,Jamaica,"Sabina Park, Kingston",6/28/2009,male,ODI,,West Indies,India,West Indies,0,8,,India,bat,R Rampaul
523,St Lucia,"Beausejour Stadium, Gros Islet",7/3/2009,male,ODI,,West Indies,India,India,0,6,,India,field,MS Dhoni
524,St Lucia,"Beausejour Stadium, Gros Islet",7/5/2009,male,ODI,,West Indies,India,No Result,0,0,,India,field,
525,Mirpur,Shere Bangla National Stadium,1/10/2009,male,ODI,,Bangladesh,Zimbabwe,Zimbabwe,38,0,,Bangladesh,field,E Chigumbura
526,Mirpur,Shere Bangla National Stadium,1/14/2009,male,ODI,,Bangladesh,Sri Lanka,Bangladesh,0,5,,Bangladesh,field,Shakib Al Hasan
527,Mirpur,Shere Bangla National Stadium,1/23/2009,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,6,,Bangladesh,field,Mashrafe Mortaza
528,Bristol,County Ground,5/24/2009,male,ODI,,England,West Indies,England,0,6,,England,field,PD Collingwood
529,Birmingham,Edgbaston,5/26/2009,male,ODI,,England,West Indies,England,58,0,,West Indies,field,MJ Prior
530,Belfast,"Civil Service Cricket Club, Stormont",8/27/2009,male,ODI,,Ireland,England,England,3,0,,England,bat,DT Johnston
531,Nairobi,Gymkhana Club Ground,1/31/2009,male,ODI,,Kenya,Zimbabwe,Zimbabwe,0,4,,Kenya,bat,
532,Karachi,National Stadium,1/20/2009,male,ODI,,Pakistan,Sri Lanka,Pakistan,0,8,,Sri Lanka,bat,Salman Butt
533,Karachi,National Stadium,1/21/2009,male,ODI,,Pakistan,Sri Lanka,Sri Lanka,129,0,,Pakistan,field,TM Dilshan
534,Lahore,Gaddafi Stadium,1/24/2009,male,ODI,,Pakistan,Sri Lanka,Sri Lanka,234,0,,Sri Lanka,bat,TM Dilshan
535,,Rangiri Dambulla International Stadium,1/28/2009,male,ODI,,Sri Lanka,India,India,0,6,,India,field,ST Jayasuriya
536,Colombo,R Premadasa Stadium,1/31/2009,male,ODI,,Sri Lanka,India,India,15,0,,India,bat,I Sharma
537,Colombo,R Premadasa Stadium,2/3/2009,male,ODI,,Sri Lanka,India,India,147,0,,India,bat,Yuvraj Singh
538,Colombo,R Premadasa Stadium,2/5/2009,male,ODI,,Sri Lanka,India,India,67,0,,India,bat,G Gambhir
539,Colombo,R Premadasa Stadium,2/8/2009,male,ODI,,Sri Lanka,India,Sri Lanka,68,0,,Sri Lanka,bat,KC Sangakkara
540,Centurion,SuperSport Park,11/22/2009,male,ODI,,South Africa,England,England,0,7,,England,field,PD Collingwood
541,Cape Town,Newlands,11/27/2009,male,ODI,,South Africa,England,South Africa,112,0,,South Africa,bat,AB de Villiers
542,Port Elizabeth,St George's Park,11/29/2009,male,ODI,,South Africa,England,England,0,7,,South Africa,bat,JM Anderson
543,Benoni,Willowmoore Park,4/1/2009,male,ODI,,Ireland,Scotland,Ireland,0,7,,Ireland,field,WTS Porterfield
544,Benoni,Willowmoore Park,4/8/2009,male,ODI,,Canada,Scotland,Canada,148,0,,Scotland,field,A Bagai
545,Benoni,Willowmoore Park,4/19/2009,male,ODI,,Afghanistan,Scotland,Afghanistan,89,0,,Afghanistan,bat,Mohammad Nabi
546,,Dubai Sports City Cricket Stadium,4/22/2009,male,ODI,,Australia,Pakistan,Pakistan,0,4,,Australia,bat,Shahid Afridi
547,,Dubai Sports City Cricket Stadium,4/24/2009,male,ODI,,Australia,Pakistan,Australia,0,6,,Pakistan,bat,A Symonds
548,Abu Dhabi,Sheikh Zayed Stadium,4/27/2009,male,ODI,,Australia,Pakistan,Australia,27,0,,Australia,bat,MJ Clarke
549,Abu Dhabi,Sheikh Zayed Stadium,5/1/2009,male,ODI,,Australia,Pakistan,Australia,0,8,,Pakistan,bat,DE Bollinger
550,Abu Dhabi,Sheikh Zayed Stadium,5/3/2009,male,ODI,,Australia,Pakistan,Pakistan,0,7,,Australia,bat,Kamran Akmal
551,Dominica,"Windsor Park, Roseau",7/26/2009,male,ODI,,West Indies,Bangladesh,Bangladesh,52,0,,West Indies,field,Abdur Razzak
552,Dominica,"Windsor Park, Roseau",7/28/2009,male,ODI,,West Indies,Bangladesh,Bangladesh,0,3,,West Indies,bat,Shakib Al Hasan
553,St Kitts,"Warner Park, Basseterre",7/31/2009,male,ODI,,West Indies,Bangladesh,Bangladesh,0,3,,West Indies,bat,Mahmudullah
554,,Rangiri Dambulla International Stadium,7/30/2009,male,ODI,,Sri Lanka,Pakistan,Sri Lanka,36,0,,Pakistan,field,M Muralitharan
555,,Rangiri Dambulla International Stadium,8/1/2009,male,ODI,,Sri Lanka,Pakistan,Sri Lanka,0,6,,Sri Lanka,field,CK Kapugedera
556,,Rangiri Dambulla International Stadium,8/3/2009,male,ODI,,Sri Lanka,Pakistan,Sri Lanka,0,6,,Sri Lanka,field,DPMD Jayawardene
557,Colombo,R Premadasa Stadium,8/7/2009,male,ODI,,Sri Lanka,Pakistan,Pakistan,146,0,,Pakistan,bat,Umar Akmal
558,Colombo,R Premadasa Stadium,8/9/2009,male,ODI,,Sri Lanka,Pakistan,Pakistan,132,0,,Pakistan,bat,Naved-ul-Hasan
559,Colombo,R Premadasa Stadium,9/8/2009,male,ODI,,Sri Lanka,New Zealand,Sri Lanka,97,0,,Sri Lanka,bat,TT Samaraweera
560,Colombo,R Premadasa Stadium,9/12/2009,male,ODI,,Sri Lanka,India,Sri Lanka,139,0,,Sri Lanka,bat,AD Mathews
561,Colombo,R Premadasa Stadium,9/11/2009,male,ODI,,India,New Zealand,India,0,6,,New Zealand,bat,A Nehra
562,Colombo,R Premadasa Stadium,9/14/2009,male,ODI,,Sri Lanka,India,India,46,0,,India,bat,SR Tendulkar
563,,Melbourne Cricket Ground,2/7/2010,male,ODI,,Australia,West Indies,Australia,113,0,,West Indies,field,SR Watson
564,,Adelaide Oval,2/9/2010,male,ODI,,Australia,West Indies,Australia,0,8,,West Indies,bat,DE Bollinger
565,,Sydney Cricket Ground,2/12/2010,male,ODI,,Australia,West Indies,No Result,0,0,,West Indies,field,
566,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/14/2010,male,ODI,,Australia,West Indies,Australia,50,0,,West Indies,field,RT Ponting
567,,Melbourne Cricket Ground,2/19/2010,male,ODI,,Australia,West Indies,Australia,125,0,,Australia,bat,JR Hopes
568,Brisbane,"Brisbane Cricket Ground, Woolloongabba",1/22/2010,male,ODI,,Australia,Pakistan,Australia,0,5,,Pakistan,bat,CL White
569,,Sydney Cricket Ground,1/24/2010,male,ODI,,Australia,Pakistan,Australia,140,0,,Pakistan,field,SR Watson
570,,Adelaide Oval,1/26/2010,male,ODI,,Australia,Pakistan,Australia,40,0,,Australia,bat,RJ Harris
571,Perth,Western Australia Cricket Association Ground,1/29/2010,male,ODI,,Australia,Pakistan,Australia,135,0,,Australia,bat,RJ Harris
572,Perth,Western Australia Cricket Association Ground,1/31/2010,male,ODI,,Australia,Pakistan,Australia,0,2,,Pakistan,bat,CJ McKay
573,Bulawayo,Queens Sports Club,8/9/2009,male,ODI,,Zimbabwe,Bangladesh,Bangladesh,0,8,,Bangladesh,field,Mohammad Ashraful
574,Bulawayo,Queens Sports Club,8/11/2009,male,ODI,,Zimbabwe,Bangladesh,Bangladesh,49,0,,Zimbabwe,field,Shakib Al Hasan
575,Bulawayo,Queens Sports Club,8/14/2009,male,ODI,,Zimbabwe,Bangladesh,Zimbabwe,69,0,,Bangladesh,field,E Chigumbura
576,Bulawayo,Queens Sports Club,8/16/2009,male,ODI,,Zimbabwe,Bangladesh,Bangladesh,0,4,,Zimbabwe,bat,CK Coventry
577,Bulawayo,Queens Sports Club,8/18/2009,male,ODI,,Zimbabwe,Bangladesh,Bangladesh,0,5,,Zimbabwe,bat,Dolar Mahmud
578,Toronto,Maple Leaf North-West Ground,8/19/2009,male,ODI,,Canada,Kenya,Canada,0,9,,Canada,field,Khurram Chohan
579,Centurion,SuperSport Park,9/22/2009,male,ODI,,South Africa,Sri Lanka,Sri Lanka,55,0,,South Africa,field,TM Dilshan
580,Johannesburg,New Wanderers Stadium,9/23/2009,male,ODI,,Pakistan,West Indies,Pakistan,0,5,,West Indies,bat,Umar Akmal
581,Centurion,SuperSport Park,9/24/2009,male,ODI,,South Africa,New Zealand,South Africa,0,5,,South Africa,field,WD Parnell
582,Johannesburg,New Wanderers Stadium,9/25/2009,male,ODI,,England,Sri Lanka,England,0,6,,England,field,PD Collingwood
583,Johannesburg,New Wanderers Stadium,9/26/2009,male,ODI,,Australia,West Indies,Australia,50,0,,West Indies,field,MG Johnson
584,Centurion,SuperSport Park,9/26/2009,male,ODI,,India,Pakistan,Pakistan,54,0,,Pakistan,bat,Shoaib Malik
585,Johannesburg,New Wanderers Stadium,9/27/2009,male,ODI,,New Zealand,Sri Lanka,New Zealand,38,0,,Sri Lanka,field,DL Vettori
586,Centurion,SuperSport Park,9/27/2009,male,ODI,,South Africa,England,England,22,0,,England,bat,OA Shah
587,Centurion,SuperSport Park,9/28/2009,male,ODI,,Australia,India,No Result,0,0,,Australia,bat,
588,Johannesburg,New Wanderers Stadium,9/29/2009,male,ODI,,England,New Zealand,New Zealand,0,4,,New Zealand,field,GD Elliott
589,Centurion,SuperSport Park,9/30/2009,male,ODI,,Australia,Pakistan,Australia,0,2,,Australia,field,MEK Hussey
590,Johannesburg,New Wanderers Stadium,9/30/2009,male,ODI,,India,West Indies,India,0,7,,India,field,V Kohli
591,Centurion,SuperSport Park,10/2/2009,male,ODI,,Australia,England,Australia,0,9,,England,bat,SR Watson
592,Johannesburg,New Wanderers Stadium,10/3/2009,male,ODI,,New Zealand,Pakistan,New Zealand,0,5,,Pakistan,bat,DL Vettori
593,Centurion,SuperSport Park,10/5/2009,male,ODI,,Australia,New Zealand,Australia,0,6,,New Zealand,bat,SR Watson
594,Vadodara,Reliance Stadium,10/25/2009,male,ODI,,India,Australia,Australia,4,0,,Australia,bat,MEK Hussey
595,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",10/28/2009,male,ODI,,India,Australia,India,99,0,,Australia,field,MS Dhoni
596,Delhi,Feroz Shah Kotla,10/31/2009,male,ODI,,India,Australia,India,0,6,,Australia,bat,Yuvraj Singh
597,Chandigarh,"Punjab Cricket Association Stadium, Mohali",11/2/2009,male,ODI,,India,Australia,Australia,24,0,,India,field,SR Watson
598,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",11/5/2009,male,ODI,,India,Australia,Australia,3,0,,Australia,bat,SR Tendulkar
599,Guwahati,Nehru Stadium,11/8/2009,male,ODI,,India,Australia,Australia,0,6,,India,bat,DE Bollinger
600,Mirpur,Shere Bangla National Stadium,10/27/2009,male,ODI,,Bangladesh,Zimbabwe,Zimbabwe,0,5,,Zimbabwe,field,E Chigumbura
601,Mirpur,Shere Bangla National Stadium,10/29/2009,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,7,,Zimbabwe,bat,Abdur Razzak
602,Mirpur,Shere Bangla National Stadium,10/31/2009,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,4,,Bangladesh,field,Tamim Iqbal
603,Chittagong,Zohur Ahmed Chowdhury Stadium,11/3/2009,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,6,,Zimbabwe,bat,Nazmul Hossain
604,Chittagong,Zohur Ahmed Chowdhury Stadium,11/5/2009,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,1,,Bangladesh,field,Naeem Islam
605,Napier,McLean Park,2/5/2010,male,ODI,,New Zealand,Bangladesh,New Zealand,146,0,,New Zealand,bat,JDP Oram
606,Dunedin,University Oval,2/8/2010,male,ODI,,New Zealand,Bangladesh,New Zealand,0,5,,New Zealand,field,LRPL Taylor
607,Christchurch,AMI Stadium,2/11/2010,male,ODI,,New Zealand,Bangladesh,New Zealand,0,3,,New Zealand,field,MJ Guptill
608,Napier,McLean Park,3/3/2010,male,ODI,,New Zealand,Australia,New Zealand,0,2,,Australia,bat,LRPL Taylor
609,Auckland,Eden Park,3/6/2010,male,ODI,,New Zealand,Australia,Australia,12,0,,Australia,bat,DL Vettori
610,Hamilton,Seddon Park,3/9/2010,male,ODI,,New Zealand,Australia,Australia,0,6,,Australia,field,BJ Haddin
611,Auckland,Eden Park,3/11/2010,male,ODI,,New Zealand,Australia,Australia,0,6,,Australia,field,CL White
612,Wellington,Westpac Stadium,3/13/2010,male,ODI,,New Zealand,Australia,New Zealand,51,0,,Australia,field,TG Southee
613,Dublin,Clontarf Cricket Club Ground,6/17/2010,male,ODI,,Ireland,Australia,Australia,39,0,,Australia,bat,JR Hopes
614,Southampton,The Rose Bowl,6/22/2010,male,ODI,,England,Australia,England,0,4,,Australia,bat,EJG Morgan
615,Cardiff,Sophia Gardens,6/24/2010,male,ODI,,England,Australia,England,0,4,,Australia,bat,SCJ Broad
616,Manchester,Old Trafford,6/27/2010,male,ODI,,England,Australia,England,0,1,,England,field,GP Swann
617,London,Kennington Oval,6/30/2010,male,ODI,,England,Australia,Australia,78,0,,England,field,RJ Harris
618,London,Lord's,7/3/2010,male,ODI,,England,Australia,Australia,42,0,,Australia,bat,SW Tait
619,Nottingham,Trent Bridge,7/8/2010,male,ODI,,England,Bangladesh,England,0,6,,Bangladesh,bat,IR Bell
620,Bristol,County Ground,7/10/2010,male,ODI,,England,Bangladesh,Bangladesh,5,0,,England,field,Mashrafe Mortaza
621,Birmingham,Edgbaston,7/12/2010,male,ODI,,England,Bangladesh,England,144,0,,Bangladesh,field,AJ Strauss
622,Mirpur,Shere Bangla National Stadium,2/28/2010,male,ODI,,Bangladesh,England,England,0,6,,England,field,Tamim Iqbal
623,Mirpur,Shere Bangla National Stadium,3/2/2010,male,ODI,,Bangladesh,England,England,0,2,,England,field,EJG Morgan
